id_empresas;razon_social;ruc;titulo;evaluaci�n_externa;evaluacion_legal;ratificado;estado;direccion;ubigeo;departamento;provincia;distrito;actividad_economica;sector_economico;telefono;correo;area_final;tipo_final;areas_detectadas;tipos_detectados
5;CORPORACI�N DE INVERSIONES SILRE S.A.C.;20611653183;Digitalizaci�n y mejora de los procesos internos de marketing, almac�n y ventas de una empresa productora y comercializadora de derivados del rocoto, distrito de Molinopampa, Chachapoyas-Amazonas.;Aprobado;No Acreditado;-;ACTIVO;NRO S/N ANX. SAN JOSE ;10114;AMAZONAS;CHACHAPOYAS;MOLINOPAMPA;VENTA AL POR MAYOR DE MATERIAS PRIMAS AGROPECUARIAS Y ANIMALES VIVOS;"Comercio al por mayor y al por menor; reparaci�n de veh�culos automotores y motocicletas";941742794;corporacionsilre@gmail.com;COMERCIAL;CRM;ALMACEN / LOGISTICA / DISTRIBUCION | COMERCIAL / MARKETING / VENTAS;AUTOMATIZACION / WORKFLOW (BPM / RPA)
9;JAR BUSINESS S.A.C.;20607861022;Implementaci�n de un Sistema Inteligente e Innovador de Atenci�n al Cliente Automatizado para la Cafeter�a Mishqui Huayo, con Estandarizaci�n de Procesos y Enfoque de Sostenibilidad Ambiental;Desaprobado;-;-;ACTIVO;JR. CORONEL BARDALEZ NRO C02 BAR. ZARAGOZA ;220101;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;ACTIVIDADES DE RESTAURANTES Y DE SERVICIO MOVIL DE COMIDAS;Actividades de alojamiento y de servicio de comidas;997035021;jarbusinessac@gmail.com;COMERCIAL;Automatizacion / Workflow (BPM / RPA);COMERCIAL / MARKETING / VENTAS | SERVICIO AL CLIENTE / ATENCION | TECNOLOGIA / INNOVACION / TI;AUTOMATIZACION / WORKFLOW (BPM / RPA)
11;CORPORACION MADRID S.A.C.;20509279544;Transformaci�n digital de los procesos Comerciales, Logisticos y Financieros de una fabrica de art�culos textiles y publicitarios de Lima;Desaprobado;-;-;ACTIVO;AV. HUANDOY MZA. PP2 LOTE 36 URB. PUERTA DE PRO ;150117;LIMA;LIMA;LOS OLIVOS;FABRICACION DE MALETAS BOLSOS DE MANO Y ARTICULOS SIMILARES Y DE ARTICULOS DE TALABARTERIA Y GUARNICIONERIA;Industrias manufactureras;(01) 5392304 - (01) 5390184 - (01) 5390999;corporacionmadrid@gmail.com;COMERCIAL;Automatizacion / Workflow (BPM / RPA);TECNOLOGIA / INNOVACION / TI;AUTOMATIZACION / WORKFLOW (BPM / RPA)
12;INNOVA T 21 S.A.C.;20547472099;Optimizaci�n del Proceso Comercial para Escalar la Conversi�n de Leads de 10% a 30% mediante Mejora de Productividad con Modelo H�brido Humano-I.A. en una Consultora Empresarial Virtual;Desaprobado;-;-;ACTIVO;CAL. AGUSTIN TOVAR NRO 333B URB. LA PUNTA ;70105;CALLAO;PROV. CONST. DEL CALLAO;LA PUNTA;ACTIVIDADES DE CONSULTORIA DE GESTION;Actividades profesionales, cient�ficas y t�cnicas;943709354;Guillermo.benites@innovat21.com;COMERCIAL;IA / Machine Learning;COMERCIAL / MARKETING / VENTAS;IA / Machine Learning
23;GRILL RESTAURANT LA COFRADIA EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA;20490190334;Soluci�n Digital Integral para el Restaurante LA COFRADIA E.I.R.L que permita optimizar la gesti�n operativa y incrementar el posicionamiento en el mercado.;Desaprobado;-;-;ACTIVO;CAL. QUERA NRO 253 ;80101;CUSCO;CUSCO;CUSCO;ACTIVIDADES DE RESTAURANTES Y DE SERVICIO MOVIL DE COMIDAS;Actividades de alojamiento y de servicio de comidas;(084) 244491 - 984112589;soniaob2@hotmail.com;TI / TRANSFORMACION DIGITAL;IA / Machine Learning;COMERCIAL / MARKETING / VENTAS;IA / Machine Learning
24;KAFFEEHAUS E.I.R.L.;20601592631;Expansi�n y Posicionamiento del Producto Pionero Mermelada de C�scara de Caf� de Kaffeehaus E.I.R.L. con Enfoque en Sostenibilidad y Apoyo al Productor mediante la Optimizaci�n de Estrategias Comerciales de marketing;Desaprobado;-;-;ACTIVO;MZA. --- LOTE 11 DEP. 102A URB. LOS ALTITOS ;40103;AREQUIPA;AREQUIPA;CAYMA;ACTIVIDADES DE RESTAURANTES Y DE SERVICIO MOVIL DE COMIDAS;Actividades de alojamiento y de servicio de comidas;970333636;info@kaffeehaus.org;COMERCIAL;Business Intelligence / Analytics;COMERCIAL / MARKETING / VENTAS;Business Intelligence / Analytics
28;DGM VERA SERVICIOS MULTIPLES EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA;20605574646;Optimizaci�n de la Productividad del Servicio y la Fidelizaci�n de Clientes en el Restaurante DGM VERA SERVICIOS M�LTIPLES E.I.R.L. mediante la Digitalizaci�n de Pedidos y Procesos Internos.;Desaprobado;-;-;ACTIVO;CAL. LOS ARCES NRO 206B ;40103;AREQUIPA;AREQUIPA;CAYMA;IMPRESION;Industrias manufactureras;959791480;wrhq50@hotmail.com;COMERCIAL;CRM;COMERCIAL / MARKETING / VENTAS;AUTOMATIZACION / WORKFLOW (BPM / RPA) | CRM
29;INSTITUTO IDEMA EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA;20604635781;Optimizaci�n de la Eficiencia Operativa y Escalabilidad del Instituto IDEMA E.I.R.L. mediante la Digitalizaci�n de la Gesti�n Acad�mica y la Automatizaci�n de Procesos Administrativos.;Desaprobado;-;-;ACTIVO;AV. EL EJERCITO NRO 101 INT. 313 URB. JARDIN ;40520;AREQUIPA;CAYLLOMA;MAJES;ENSE�ANZA SECUNDARIA DE FORMACION TECNICA Y PROFESIONAL;Ense�anza;991317346;info@instituto-idema.org;OPERACIONES;Automatizacion / Workflow (BPM / RPA);OPERACIONES / PRODUCCION / MANTENIMIENTO;AUTOMATIZACION / WORKFLOW (BPM / RPA)
32;MALLKY PERU TRAVEL TOURS OPERATOR E.I.R.L;20601744172;Transformaci�n digital integral para potenciar la gesti�n comercial, fortalecer el posicionamiento de marca y mejorar la productividad operativa en Mallky Peru Travel Tours Operator E.I.R.L;Desaprobado;-;-;ACTIVO;CAL. PUMAPACCHA NRO 257 C.H. ZAGUAN DEL CIELO ;80101;CUSCO;CUSCO;CUSCO;ACTIVIDADES DE AGENCIAS DE VIAJES;Actividades de servicios administrativos y de apoyo;920991576;info@mallkytours.com;COMERCIAL;IA / Machine Learning;COMERCIAL / MARKETING / VENTAS | TECNOLOGIA / INNOVACION / TI;IA / Machine Learning
33;RURAL EARTH EXPEDITIONS PERU EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA -RURAL EARTH EXPEDITIONS;20491203201;Implementaci�n de herramientas digitales para optimizar la gesti�n de clientes y potenciar estrategias de marketing en Rural Earth Expeditions Per�.;Desaprobado;-;-;ACTIVO;MZA. P LOTE 6 URB. VALLECITO DE HUANCARO ;80106;CUSCO;CUSCO;SANTIAGO;ACTIVIDADES DE AGENCIAS DE VIAJES;Actividades de servicios administrativos y de apoyo;958116502;inkarperu@gmail.com;COMERCIAL;CRM;COMERCIAL / MARKETING / VENTAS;CRM
